Cell	Batch	group	ExpLibSize
Cell103	Batch1	Group1	55420.939959992604
Cell104	Batch1	Group3	69590.99062192626
Cell106	Batch1	Group2	55855.15819670576
Cell107	Batch1	Group4	75738.78220679189
Cell111	Batch1	Group3	56032.77076099252
Cell112	Batch1	Group4	60325.32160538211
Cell114	Batch1	Group2	57698.416843254374
Cell116	Batch1	Group4	48027.30256714334
Cell119	Batch1	Group3	59859.33104285597
Cell121	Batch1	Group4	55903.31429105042
Cell122	Batch1	Group4	45783.67785044417
Cell123	Batch1	Group3	48668.03566329688
Cell124	Batch1	Group4	53512.53003792753
Cell125	Batch1	Group4	53652.21569609339
Cell126	Batch1	Group4	57462.08564837251
Cell127	Batch1	Group4	47253.62682017155
Cell129	Batch1	Group1	53390.57536562024
Cell130	Batch1	Group3	69888.33576605862
Cell131	Batch1	Group3	50933.28208504171
Cell132	Batch1	Group2	57873.64943427228
Cell133	Batch1	Group4	59831.67218172945
Cell136	Batch1	Group2	77171.4079794374
Cell137	Batch1	Group4	95548.54981559514
Cell138	Batch1	Group1	56602.141116393555
Cell139	Batch1	Group4	56601.3159577096
Cell143	Batch1	Group4	59909.04617733183
Cell147	Batch1	Group4	78264.66497132627
Cell148	Batch1	Group3	75516.81549977609
Cell149	Batch1	Group2	65085.63854658878
Cell150	Batch1	Group3	50787.36548481734
Cell152	Batch1	Group4	63987.997020185954
Cell154	Batch1	Group2	60181.518371716695
Cell155	Batch1	Group3	55504.249641624956
Cell156	Batch1	Group4	94403.59117901337
Cell158	Batch1	Group3	69381.95947033467
Cell159	Batch1	Group2	56042.544621374
Cell161	Batch1	Group3	52104.30868933979
Cell163	Batch1	Group2	43188.91094666741
Cell164	Batch1	Group3	75463.09414633608
Cell167	Batch1	Group2	59186.99978757687
Cell170	Batch1	Group4	71418.01533778882
Cell173	Batch1	Group4	53250.77141610082
Cell176	Batch1	Group3	58644.36674368383
Cell177	Batch1	Group4	48901.83438692313
Cell180	Batch1	Group4	85635.94617540664
Cell184	Batch1	Group4	45614.84304096037
Cell187	Batch1	Group2	53423.054389264944
Cell188	Batch1	Group3	64087.436031051926
Cell191	Batch1	Group4	63001.0418395676
Cell193	Batch1	Group3	59702.21760197293
Cell194	Batch1	Group4	69362.5647529825
Cell197	Batch1	Group2	63211.8496261272
Cell199	Batch1	Group4	49670.03482735444
Cell201	Batch1	Group4	61760.324055229874
Cell203	Batch1	Group4	55610.85456721159
Cell204	Batch1	Group4	54099.61390827727
Cell207	Batch1	Group4	74498.04712152222
Cell208	Batch1	Group2	45217.554856646595
Cell210	Batch1	Group2	79239.6468347486
Cell212	Batch1	Group3	53610.78804963595
Cell214	Batch1	Group4	63823.4218287253
Cell215	Batch1	Group3	69466.79167030232
Cell216	Batch1	Group4	90569.66327381074
Cell217	Batch1	Group3	77167.35346164237
Cell219	Batch1	Group3	53251.50839422345
Cell220	Batch1	Group2	58481.37700236844
Cell221	Batch1	Group4	55439.75632970351
Cell223	Batch1	Group3	84559.29206558104
Cell225	Batch1	Group4	58217.26279283668
Cell226	Batch1	Group4	67051.11240341056
Cell228	Batch1	Group1	76564.73024682916
Cell232	Batch1	Group4	38691.538758825904
Cell233	Batch1	Group4	53280.2808677595
Cell234	Batch1	Group2	48173.52500200363
Cell236	Batch1	Group4	72524.4729245371
Cell237	Batch1	Group4	64174.92680381625
Cell238	Batch1	Group4	54816.70556623328
Cell239	Batch1	Group2	55990.728826870036
Cell246	Batch1	Group2	54321.82176169253
Cell247	Batch1	Group2	53360.17465025401
Cell251	Batch1	Group3	46695.29400759923
Cell255	Batch1	Group4	55656.354014515775
Cell256	Batch1	Group3	71952.2459361064
Cell257	Batch1	Group4	81893.50918336774
Cell259	Batch1	Group3	78186.42435296281
Cell260	Batch1	Group4	59869.213068357465
Cell261	Batch1	Group2	74398.95104287741
Cell262	Batch1	Group2	62349.11870707226
Cell264	Batch1	Group2	57504.926294828096
Cell265	Batch1	Group4	60832.27057959668
Cell266	Batch1	Group3	45972.20651528205
Cell269	Batch1	Group2	48448.50013740261
Cell271	Batch1	Group1	56007.57369606149
Cell273	Batch1	Group4	61799.83974912702
Cell274	Batch1	Group3	64634.64664309145
Cell275	Batch1	Group2	51232.623421348115
Cell276	Batch1	Group2	78361.07311185921
Cell277	Batch1	Group4	80830.34291836408
Cell280	Batch1	Group4	67289.1328441728
Cell281	Batch1	Group3	69457.79339855688
Cell283	Batch1	Group4	49448.93383046807
Cell286	Batch1	Group1	51534.88742390086
Cell289	Batch1	Group4	47101.43206249451
Cell291	Batch1	Group4	61647.86726580255
Cell293	Batch1	Group3	58056.78573732392
Cell294	Batch1	Group3	55102.676990906766
Cell295	Batch1	Group4	54475.22518722605
Cell296	Batch1	Group4	44364.39562863301
Cell301	Batch1	Group3	46311.135368258416
Cell302	Batch1	Group4	90744.13913059059
Cell303	Batch1	Group4	55630.879403561725
Cell304	Batch1	Group4	74750.16256368313
Cell306	Batch1	Group2	77460.2380963579
Cell308	Batch1	Group3	75377.2923583555
Cell312	Batch1	Group4	39728.35599603908
Cell317	Batch1	Group2	54947.605965535186
Cell318	Batch1	Group3	60146.32204119423
Cell319	Batch1	Group4	83756.79312788113
Cell322	Batch1	Group4	72666.94045254748
Cell327	Batch1	Group4	58871.142675962226
Cell328	Batch1	Group4	53486.849877579974
Cell332	Batch1	Group3	61433.48853632637
Cell333	Batch1	Group1	58100.61612447167
Cell335	Batch1	Group3	66839.12495747086
Cell337	Batch1	Group4	65401.01185146557
Cell340	Batch1	Group4	39425.533670533776
Cell342	Batch1	Group4	68096.42132102429
Cell343	Batch1	Group4	45095.93081737535
Cell344	Batch1	Group4	66612.03042149784
Cell345	Batch1	Group4	66665.70355166619
Cell346	Batch1	Group4	67671.66083623093
Cell348	Batch1	Group4	84599.48862710161
Cell349	Batch1	Group4	61530.03742538303
Cell351	Batch1	Group4	38535.057433454815
Cell353	Batch1	Group2	75237.76359998228
Cell354	Batch1	Group4	67650.68102592663
Cell356	Batch1	Group2	45820.03577410458
Cell357	Batch1	Group2	79261.91611565062
Cell358	Batch1	Group3	64836.975633354654
Cell360	Batch1	Group3	51805.79877815144
Cell363	Batch1	Group4	50772.38991840925
Cell365	Batch1	Group2	43331.86653196263
Cell366	Batch1	Group2	64636.06226633208
Cell367	Batch1	Group4	80303.48134486075
Cell369	Batch1	Group4	76462.0969793205
Cell371	Batch1	Group2	58218.55534893042
Cell372	Batch1	Group4	69895.79492766099
Cell377	Batch1	Group2	75972.72254440194
Cell378	Batch1	Group4	67390.23969831594
Cell380	Batch1	Group4	106641.73501079918
Cell381	Batch1	Group3	53767.87223004134
Cell383	Batch1	Group3	61774.49750877812
Cell385	Batch1	Group4	60777.03251179295
Cell386	Batch1	Group4	64811.5244158795
Cell392	Batch1	Group4	108499.42301691597
Cell393	Batch1	Group4	75905.72036316429
Cell396	Batch1	Group3	77607.99259447245
Cell404	Batch1	Group2	67568.70056143394
Cell406	Batch1	Group3	49161.92808659108
Cell407	Batch1	Group2	49078.77320243258
Cell408	Batch1	Group4	69089.20159516943
Cell412	Batch1	Group4	95465.68748465856
Cell413	Batch1	Group2	73702.00184719308
Cell414	Batch1	Group2	71394.02567102032
Cell416	Batch1	Group4	81893.11190268018
Cell419	Batch1	Group2	110513.15104214237
Cell420	Batch1	Group4	70522.19271647074
Cell423	Batch1	Group2	58937.64447575753
Cell427	Batch1	Group4	52361.39307076591
Cell429	Batch1	Group2	55180.82222002167
Cell430	Batch1	Group4	70021.82788295683
Cell434	Batch1	Group1	50686.938732602095
Cell435	Batch1	Group2	47065.35656147533
Cell437	Batch1	Group2	56480.13497027942
Cell441	Batch1	Group2	76451.06969737713
Cell444	Batch1	Group4	59937.6313876502
Cell446	Batch1	Group4	62068.95576994645
Cell447	Batch1	Group4	83231.64776864702
Cell448	Batch1	Group4	56051.78479698383
Cell449	Batch1	Group2	52595.8645832927
Cell450	Batch1	Group3	54523.07506508324
Cell452	Batch1	Group1	88912.54012495978
Cell453	Batch1	Group4	47975.37568170933
Cell454	Batch1	Group3	67365.12391083316
Cell458	Batch1	Group4	70581.01015564842
Cell459	Batch1	Group4	69205.01571501343
Cell463	Batch1	Group2	64115.49510965184
Cell464	Batch1	Group4	45090.425997240454
Cell467	Batch1	Group3	51791.76436126253
Cell468	Batch1	Group3	65987.1684275486
Cell469	Batch1	Group3	63497.285946210024
Cell472	Batch1	Group4	47497.64494193834
Cell475	Batch1	Group4	58466.27279262591
Cell479	Batch1	Group3	55160.73373239489
Cell480	Batch1	Group4	65683.64657740944
Cell482	Batch1	Group2	51124.56103667991
Cell486	Batch1	Group3	54496.917493266104
Cell489	Batch1	Group3	73877.84763763017
Cell491	Batch1	Group4	57635.529324289324
Cell495	Batch1	Group4	61390.957814298774
Cell497	Batch1	Group2	52490.66031446426
Cell500	Batch1	Group4	64452.66943504912
Cell502	Batch1	Group4	59427.28297858763
Cell503	Batch1	Group2	71988.13416816102
Cell505	Batch1	Group3	70213.06423993556
Cell509	Batch1	Group2	77470.57359426001
Cell511	Batch1	Group4	82077.149146208
Cell512	Batch1	Group3	56735.65896134725
Cell513	Batch1	Group2	56929.9412186641
Cell515	Batch1	Group3	60528.19275150474
Cell516	Batch1	Group2	44130.96417960521
Cell519	Batch1	Group1	65004.64479156216
Cell522	Batch1	Group3	73051.72183489446
Cell525	Batch1	Group3	83381.01151682546
Cell526	Batch1	Group4	78239.89183872836
Cell530	Batch1	Group3	92857.29314682864
Cell531	Batch1	Group4	64524.440590123755
Cell533	Batch1	Group2	52616.81595754013
Cell534	Batch1	Group4	66837.57564223155
Cell535	Batch1	Group3	68305.10656084202
Cell538	Batch1	Group3	52953.32014207346
Cell539	Batch1	Group3	56548.681933774926
Cell540	Batch1	Group4	45324.30694147125
Cell541	Batch1	Group2	57636.35312419474
Cell544	Batch1	Group2	68469.48418404363
Cell546	Batch1	Group1	50850.45859297336
Cell548	Batch1	Group4	81738.98575687404
Cell551	Batch1	Group4	73565.03679525343
Cell553	Batch1	Group4	58857.092554393195
Cell555	Batch1	Group4	72065.33637405386
Cell556	Batch1	Group3	73333.44656516777
Cell557	Batch1	Group2	78669.73070688167
Cell559	Batch1	Group3	80824.8793849364
Cell560	Batch1	Group3	48006.1976665016
Cell564	Batch1	Group3	59489.81729474708
Cell565	Batch1	Group3	47819.619988074584
Cell567	Batch1	Group4	63290.14850777825
Cell568	Batch1	Group3	62052.18322117015
Cell569	Batch1	Group3	88119.50214326676
Cell572	Batch1	Group3	77014.44501942628
Cell573	Batch1	Group4	83428.89361342315
Cell574	Batch1	Group3	45953.19043948141
Cell576	Batch1	Group2	61950.01382429024
Cell577	Batch1	Group4	57322.9614609041
Cell578	Batch1	Group4	48886.57995672078
Cell581	Batch1	Group2	49748.23779418759
Cell587	Batch1	Group3	62210.62459097196
Cell589	Batch1	Group4	72614.55310010164
Cell592	Batch1	Group4	45335.531676595725
Cell597	Batch1	Group2	61611.073947419725
Cell598	Batch1	Group4	59535.945353196126
Cell600	Batch1	Group3	51968.955654015925
Cell601	Batch1	Group4	56073.94340189981
Cell604	Batch1	Group2	57888.138813698395
Cell606	Batch1	Group4	58233.19098839832
Cell607	Batch1	Group2	42447.481661548176
Cell608	Batch1	Group4	65330.72452582818
Cell610	Batch1	Group3	94173.20045108836
Cell613	Batch1	Group3	73212.51102571294
Cell615	Batch1	Group3	63305.74806568626
Cell617	Batch1	Group4	41103.05759277336
Cell623	Batch1	Group1	46872.24452304599
Cell625	Batch1	Group3	59769.01527724249
Cell630	Batch1	Group2	47735.62398141603
Cell635	Batch1	Group4	50328.34791033202
Cell636	Batch1	Group2	53645.0813665348
Cell637	Batch1	Group2	33066.639198324694
Cell640	Batch1	Group2	70787.7539691832
Cell642	Batch1	Group2	67478.32266456228
Cell644	Batch1	Group3	37342.0804662592
Cell645	Batch1	Group4	64732.0231081017
Cell648	Batch1	Group4	70687.07618562752
Cell649	Batch1	Group4	62117.709615804466
Cell651	Batch1	Group4	66762.34875113204
Cell653	Batch1	Group3	51337.98052996924
Cell654	Batch1	Group4	57174.79404452918
Cell655	Batch1	Group4	52219.20595934258
Cell656	Batch1	Group4	65032.75449480318
Cell657	Batch1	Group1	56481.82375922139
Cell658	Batch1	Group2	77642.16706770551
Cell663	Batch1	Group4	44475.65957829542
Cell666	Batch1	Group2	54300.99028714421
Cell667	Batch1	Group4	52202.42552486367
Cell669	Batch1	Group2	63381.59168839421
Cell671	Batch1	Group3	68583.56220842896
Cell672	Batch1	Group2	66072.45716488647
Cell675	Batch1	Group4	43541.45031715768
Cell679	Batch1	Group2	53196.216005959795
Cell680	Batch1	Group4	56839.063347097224
Cell681	Batch1	Group2	49420.4555093929
Cell682	Batch1	Group3	64654.22505009
Cell683	Batch1	Group4	54296.256376663674
Cell684	Batch1	Group3	48325.1824836285
Cell687	Batch1	Group3	73337.32420781028
Cell689	Batch1	Group3	64357.10570963703
Cell691	Batch1	Group4	60182.7172869254
Cell692	Batch1	Group4	66259.09419562017
Cell695	Batch1	Group4	49012.67028671377
Cell696	Batch1	Group4	60763.59646618964
Cell697	Batch1	Group2	57538.088270904795
Cell701	Batch1	Group2	45188.24825655201
Cell704	Batch1	Group3	40370.86441903496
Cell708	Batch1	Group4	67620.48993825342
Cell710	Batch1	Group4	67519.48603742913
Cell713	Batch1	Group4	74080.3374718697
Cell714	Batch1	Group3	55757.673763471845
Cell715	Batch1	Group1	62097.84979431549
Cell717	Batch1	Group4	55436.42114769647
Cell718	Batch1	Group4	44566.189825468195
Cell719	Batch1	Group4	55892.958365087725
Cell721	Batch1	Group2	64303.51464051373
Cell722	Batch1	Group4	53719.070337791214
Cell724	Batch1	Group4	65997.28103442215
Cell734	Batch1	Group4	58931.651174542116
Cell735	Batch1	Group4	44891.869352932314
Cell740	Batch1	Group4	69768.58923555358
Cell743	Batch1	Group3	59375.048972886725
Cell744	Batch1	Group4	72255.56405499107
Cell745	Batch1	Group4	77042.51042511035
Cell753	Batch1	Group2	41460.7757666524
Cell756	Batch1	Group1	46849.941934094
Cell757	Batch1	Group2	66244.40127587176
Cell760	Batch1	Group2	61143.684854501145
Cell761	Batch1	Group2	83473.00264850094
Cell762	Batch1	Group3	49202.39835700463
Cell763	Batch1	Group3	70650.22771710184
Cell765	Batch1	Group2	64722.34589481799
Cell766	Batch1	Group2	65664.0322938361
Cell767	Batch1	Group1	41868.395254806506
Cell768	Batch1	Group2	47643.78854594363
Cell769	Batch1	Group2	90364.64509068437
Cell770	Batch1	Group3	62335.71527106323
Cell772	Batch1	Group4	65766.53076444786
Cell775	Batch1	Group4	47903.74573186333
Cell776	Batch1	Group4	45784.37285802186
Cell777	Batch1	Group2	64256.4262129188
Cell778	Batch1	Group3	54068.79605332756
Cell779	Batch1	Group1	78587.15708901401
Cell780	Batch1	Group4	46984.13480352631
Cell783	Batch1	Group4	78333.46080900206
Cell784	Batch1	Group4	87659.96078369247
Cell786	Batch1	Group2	56566.506938958526
Cell788	Batch1	Group2	43713.58868696966
Cell789	Batch1	Group4	39559.39112929476
Cell794	Batch1	Group4	64575.233010369855
Cell796	Batch1	Group3	52081.273242571486
Cell798	Batch1	Group4	71747.80263367867
Cell799	Batch1	Group3	57641.734168853494
Cell800	Batch1	Group4	54863.9336016859
Cell803	Batch1	Group2	56557.29627510162
Cell804	Batch1	Group3	57492.37701488207
Cell805	Batch1	Group3	46975.80631112637
Cell808	Batch1	Group2	62551.94574169659
Cell809	Batch1	Group1	51342.46987463979
Cell810	Batch1	Group4	53065.80775883584
Cell811	Batch1	Group2	51674.50351739878
Cell818	Batch1	Group2	59266.86315473463
Cell819	Batch1	Group2	72030.03576858308
Cell821	Batch1	Group3	70880.8312828581
Cell823	Batch1	Group2	56911.76592546331
Cell824	Batch1	Group4	40685.66252848761
Cell825	Batch1	Group3	62911.386250443364
Cell826	Batch1	Group4	57101.73904288724
Cell835	Batch1	Group3	65448.91980892367
Cell837	Batch1	Group4	54238.85692070112
Cell841	Batch1	Group3	44869.954906124294
Cell843	Batch1	Group4	55988.887441902145
Cell848	Batch1	Group2	70249.55818106886
Cell851	Batch1	Group4	52649.020712481135
Cell852	Batch1	Group4	61823.67740393481
Cell854	Batch1	Group2	51911.90776104299
Cell855	Batch1	Group2	73448.55949409209
Cell856	Batch1	Group4	66099.24997674157
Cell857	Batch1	Group2	58099.889187982175
Cell858	Batch1	Group2	71596.41862670988
Cell859	Batch1	Group2	58176.605365988544
Cell866	Batch1	Group1	52303.208531428674
Cell868	Batch1	Group1	43561.982005104255
Cell873	Batch1	Group2	59442.417067045724
Cell875	Batch1	Group2	56182.70972715173
Cell878	Batch1	Group2	67139.7507150235
Cell879	Batch1	Group3	55951.18801485375
Cell882	Batch1	Group3	73063.24062862612
Cell887	Batch1	Group1	54868.651642313365
Cell888	Batch1	Group4	66045.06591550316
Cell890	Batch1	Group4	53815.54419620353
Cell891	Batch1	Group3	60458.723744747185
Cell894	Batch1	Group4	51143.52254020912
Cell895	Batch1	Group1	74432.51608438807
Cell897	Batch1	Group3	72014.09703285371
Cell898	Batch1	Group4	63831.86378201816
Cell899	Batch1	Group4	73473.5934320163
Cell901	Batch1	Group1	67425.61946244954
Cell903	Batch1	Group1	58838.40718690198
Cell907	Batch1	Group1	59450.43405054954
Cell909	Batch1	Group4	37619.55516116481
Cell910	Batch1	Group4	52222.36485086904
Cell911	Batch1	Group3	47838.310240377126
Cell914	Batch1	Group4	65577.56871884658
Cell915	Batch1	Group2	43895.9051042549
Cell918	Batch1	Group3	69769.09190087122
Cell919	Batch1	Group4	61216.7945059993
Cell920	Batch1	Group4	70630.25080127409
Cell927	Batch1	Group2	51289.46481187577
Cell931	Batch1	Group3	64130.41694661509
Cell934	Batch1	Group2	78308.23885334641
Cell941	Batch1	Group2	64525.783487762674
Cell942	Batch1	Group4	54755.250906064444
Cell943	Batch1	Group2	60170.130978370165
Cell944	Batch1	Group2	57845.116354270795
Cell945	Batch1	Group2	83507.54364238998
Cell946	Batch1	Group2	101432.36859619302
Cell951	Batch1	Group3	54296.37830393065
Cell952	Batch1	Group3	45202.496889546295
Cell955	Batch1	Group3	64438.533682449255
Cell959	Batch1	Group4	85432.79490783332
Cell962	Batch1	Group4	58692.108713920694
Cell963	Batch1	Group4	73959.54568610046
Cell967	Batch1	Group2	64688.77009092675
Cell969	Batch1	Group3	50729.75002803493
Cell970	Batch1	Group4	66381.80890662316
Cell972	Batch1	Group2	50881.56943644793
Cell973	Batch1	Group2	101075.54404900614
Cell975	Batch1	Group2	70832.73872971303
Cell976	Batch1	Group2	75159.32291042985
Cell978	Batch1	Group2	70867.30161605243
Cell979	Batch1	Group4	57250.88799421547
Cell981	Batch1	Group3	62461.18938637405
Cell982	Batch1	Group2	39859.54803445133
Cell984	Batch1	Group4	66110.07926926417
Cell986	Batch1	Group4	69059.71894564742
Cell988	Batch1	Group4	59239.85517944907
Cell992	Batch1	Group4	50334.1456987133
Cell994	Batch1	Group2	61957.68939191427
Cell996	Batch1	Group2	63270.44124687236
Cell997	Batch1	Group2	51036.5735110997
Cell998	Batch1	Group3	58885.13566264156
Cell999	Batch1	Group2	53571.58520836509
