Gene	BaseGeneMean	OutlierFactor	GeneMean	DEFacGroup1	GeneMeanGroup1	DEFacGroup2	GeneMeanGroup2	DEFacGroup3	GeneMeanGroup3	DEFacGroup4	GeneMeanGroup4
Gene19	0.6720927633617584	1	0.6720927633617584	1	0.6720927633617584	1	0.6720927633617584	1	0.6720927633617584	1	0.6720927633617584
Gene20	1.4202842717730033	1	1.4202842717730033	1	1.4202842717730033	1	1.4202842717730033	1	1.4202842717730033	1	1.4202842717730033
Gene21	0.14231094337297495	1	0.14231094337297495	1	0.14231094337297495	1	0.14231094337297495	1	0.14231094337297495	1	0.14231094337297495
Gene22	0.21260654284721528	1	0.21260654284721528	1	0.21260654284721528	1	0.21260654284721528	1	0.21260654284721528	1	0.21260654284721528
Gene23	3.2331493307969184	1	3.2331493307969184	1	3.2331493307969184	1	3.2331493307969184	1	3.2331493307969184	1	3.2331493307969184
Gene24	0.2674104977349373	1	0.2674104977349373	1	0.2674104977349373	1	0.2674104977349373	1	0.2674104977349373	0.08495951455258022	0.022719066073824123
Gene25	0.7488436132465698	1	0.7488436132465698	1	0.7488436132465698	1	0.7488436132465698	1	0.7488436132465698	1	0.7488436132465698
Gene26	0.9345128007411407	1	0.9345128007411407	1	0.9345128007411407	1	0.9345128007411407	1	0.9345128007411407	3.35527790008969	3.1355501476776695
Gene27	3.866955565387523	1	3.866955565387523	1	3.866955565387523	1	3.866955565387523	1	3.866955565387523	1	3.866955565387523
Gene28	7.361617323233253	1	7.361617323233253	1	7.361617323233253	1	7.361617323233253	1	7.361617323233253	1	7.361617323233253
Gene29	1.185485877844486	1	1.185485877844486	1	1.185485877844486	1	1.185485877844486	1	1.185485877844486	1	1.185485877844486
Gene30	0.2369096139265976	1	0.2369096139265976	1	0.2369096139265976	1	0.2369096139265976	1	0.2369096139265976	1	0.2369096139265976
Gene31	1.7127103654248441	1	1.7127103654248441	1	1.7127103654248441	1	1.7127103654248441	1	1.7127103654248441	1	1.7127103654248441
Gene32	0.8437945313713674	1	0.8437945313713674	1.0505166786569626	0.8864202285651571	1	0.8437945313713674	1	0.8437945313713674	1	0.8437945313713674
Gene33	1.0556348046008783	1	1.0556348046008783	1	1.0556348046008783	1	1.0556348046008783	1	1.0556348046008783	1	1.0556348046008783
Gene34	0.13761873030421923	1	0.13761873030421923	1	0.13761873030421923	1	0.13761873030421923	1	0.13761873030421923	1	0.13761873030421923
Gene35	0.3823069550601309	1	0.3823069550601309	3.4927530024421354	1.3353037651407826	0.20516584227659607	0.07843632844311252	1	0.3823069550601309	1	0.3823069550601309
Gene36	3.0470431508816014	1	3.0470431508816014	1	3.0470431508816014	1	3.0470431508816014	1	3.0470431508816014	1	3.0470431508816014
Gene37	1.3996571151573043	1	1.3996571151573043	1	1.3996571151573043	0.11144533279062278	0.15598525299146881	1	1.3996571151573043	1	1.3996571151573043
Gene38	0.07552552419137153	1	0.07552552419137153	1	0.07552552419137153	1	0.07552552419137153	1	0.07552552419137153	1	0.07552552419137153
Gene39	2.7471000949573274	1	2.7471000949573274	1	2.7471000949573274	1	2.7471000949573274	1	2.7471000949573274	1	2.7471000949573274
Gene40	0.06287712676809114	1	0.06287712676809114	1	0.06287712676809114	1	0.06287712676809114	1	0.06287712676809114	1	0.06287712676809114
Gene41	0.13590779696254757	1	0.13590779696254757	1	0.13590779696254757	1	0.13590779696254757	1	0.13590779696254757	1	0.13590779696254757
Gene42	4.135456101609374	1	4.135456101609374	1	4.135456101609374	1	4.135456101609374	1	4.135456101609374	1	4.135456101609374
Gene43	0.19036694637113002	1	0.19036694637113002	1.4946432548080686	0.28453067233201884	1	0.19036694637113002	1	0.19036694637113002	1	0.19036694637113002
Gene44	4.997575984477861	1	4.997575984477861	1	4.997575984477861	1	4.997575984477861	1	4.997575984477861	1	4.997575984477861
Gene45	2.2457773555763323	1	2.2457773555763323	1	2.2457773555763323	1	2.2457773555763323	1	2.2457773555763323	1.6139175209068453	3.624499422220485
Gene46	0.1168181533865242	1	0.1168181533865242	1	0.1168181533865242	1	0.1168181533865242	1	0.1168181533865242	1	0.1168181533865242
Gene47	2.42064174157387	1	2.42064174157387	1	2.42064174157387	1	2.42064174157387	1	2.42064174157387	1	2.42064174157387
Gene48	1.0130978947160716	86.34829385727515	89.31576951638702	1	89.31576951638702	1	89.31576951638702	1	89.31576951638702	1	89.31576951638702
Gene49	0.876512967269914	1	0.876512967269914	1	0.876512967269914	1	0.876512967269914	1	0.876512967269914	1	0.876512967269914
Gene50	1.5026915079986434	38.91098246877183	40.24821089784843	1	40.24821089784843	1	40.24821089784843	1	40.24821089784843	1	40.24821089784843
Gene51	3.610370826132596	1	3.610370826132596	1.8451267121733446	6.661591652148599	1	3.610370826132596	1	3.610370826132596	1	3.610370826132596
Gene52	4.487410530755903	1	4.487410530755903	1	4.487410530755903	1	4.487410530755903	1	4.487410530755903	1	4.487410530755903
Gene53	0.05292428225722533	1	0.05292428225722533	45.864824723054056	2.4273629293210792	1	0.05292428225722533	1	0.05292428225722533	1	0.05292428225722533
Gene54	4.75592178099922	1	4.75592178099922	1	4.75592178099922	1	4.75592178099922	1	4.75592178099922	1	4.75592178099922
Gene55	10.252306271860675	1	10.252306271860675	0.8291517240651011	8.500717420956727	1	10.252306271860675	1	10.252306271860675	1	10.252306271860675
Gene56	1.8213910563455404	1	1.8213910563455404	1	1.8213910563455404	1	1.8213910563455404	1	1.8213910563455404	1	1.8213910563455404
Gene57	1.3584088099311216	1	1.3584088099311216	1	1.3584088099311216	1	1.3584088099311216	1	1.3584088099311216	5.185383875605468	7.04387113949725
Gene58	3.6002497881609803	1	3.6002497881609803	1	3.6002497881609803	1	3.6002497881609803	1	3.6002497881609803	1	3.6002497881609803
Gene59	0.0028404562913734136	1	0.0028404562913734136	1	0.0028404562913734136	1	0.0028404562913734136	1	0.0028404562913734136	1	0.0028404562913734136
Gene60	0.31141166263285985	1	0.31141166263285985	1	0.31141166263285985	1	0.31141166263285985	1	0.31141166263285985	1	0.31141166263285985
Gene61	0.035815257021705106	1	0.035815257021705106	1	0.035815257021705106	1	0.035815257021705106	1	0.035815257021705106	1	0.035815257021705106
Gene62	2.273193939911333	1	2.273193939911333	1	2.273193939911333	1	2.273193939911333	1	2.273193939911333	1	2.273193939911333
Gene63	6.030053818185336	1	6.030053818185336	1	6.030053818185336	1	6.030053818185336	1	6.030053818185336	1	6.030053818185336
Gene64	2.4620598452891413	1	2.4620598452891413	1	2.4620598452891413	1	2.4620598452891413	1	2.4620598452891413	1	2.4620598452891413
Gene65	0.03228084801888424	1	0.03228084801888424	1	0.03228084801888424	1	0.03228084801888424	1	0.03228084801888424	1	0.03228084801888424
Gene66	3.1334468084712572	1	3.1334468084712572	1	3.1334468084712572	1	3.1334468084712572	1	3.1334468084712572	1	3.1334468084712572
Gene67	4.5240737014516155	1	4.5240737014516155	2.8512673533237183	12.899343648979386	0.5432982626309789	2.4579213820131645	1	4.5240737014516155	1	4.5240737014516155
Gene68	0.8412905633801584	1	0.8412905633801584	0.663367067654934	0.5580844540752631	2.269202526348643	1.9090586718155285	1	0.8412905633801584	1	0.8412905633801584
Gene69	0.1855365655683709	72.75495607602745	75.25527833592321	1	75.25527833592321	1	75.25527833592321	1	75.25527833592321	1	75.25527833592321
Gene70	1.6828668803543976	1	1.6828668803543976	1	1.6828668803543976	1	1.6828668803543976	3.902452292253615	6.5673077147967085	1	1.6828668803543976
Gene71	0.8222708833794586	1	0.8222708833794586	1	0.8222708833794586	1	0.8222708833794586	1	0.8222708833794586	1	0.8222708833794586
Gene72	0.11503082336403635	1	0.11503082336403635	1	0.11503082336403635	1	0.11503082336403635	36.82860231929574	4.2364244481352475	1	0.11503082336403635
Gene73	3.2707999229029845	1	3.2707999229029845	1	3.2707999229029845	1	3.2707999229029845	3.5761617828143644	11.696909683517822	1	3.2707999229029845
Gene74	0.010815106753396489	1	0.010815106753396489	1	0.010815106753396489	1	0.010815106753396489	0.32825925154115826	0.0035501588482076576	1	0.010815106753396489
Gene75	0.6709652678275732	1	0.6709652678275732	1	0.6709652678275732	1	0.6709652678275732	1	0.6709652678275732	0.05988308131316776	0.040179467691629944
Gene76	4.0708601388360615	1	4.0708601388360615	1	4.0708601388360615	1	4.0708601388360615	1	4.0708601388360615	1	4.0708601388360615
Gene77	0.47075969243579785	54.75942156312652	56.641302991660766	1	56.641302991660766	1	56.641302991660766	1	56.641302991660766	1	56.641302991660766
Gene78	0.3265469181635988	1	0.3265469181635988	1	0.3265469181635988	1	0.3265469181635988	2.8192848139272844	0.9206287674133898	1	0.3265469181635988
Gene79	2.354529766259326	1	2.354529766259326	1	2.354529766259326	1	2.354529766259326	1	2.354529766259326	1	2.354529766259326
Gene80	0.27403772405581134	1	0.27403772405581134	1	0.27403772405581134	1	0.27403772405581134	1	0.27403772405581134	1	0.27403772405581134
Gene81	4.695190010998472	1	4.695190010998472	1	4.695190010998472	1	4.695190010998472	4.246725139871792	19.939181456182126	1	4.695190010998472
Gene82	0.0260052591156537	1	0.0260052591156537	1	0.0260052591156537	0.5600339523425157	0.014563828044230778	1	0.0260052591156537	1	0.0260052591156537
Gene83	0.15372672253745948	77.39340274762301	80.053131487707	1	80.053131487707	1	80.053131487707	1	80.053131487707	1	80.053131487707
Gene84	0.05805239809705983	1	0.05805239809705983	1	0.05805239809705983	1	0.05805239809705983	1	0.05805239809705983	1.437533069947869	0.08345224205430225
Gene85	5.763427502706325	99.67689747341103	103.10242858485424	1	103.10242858485424	1	103.10242858485424	1	103.10242858485424	0.15141795158171673	15.611558539418866
Gene86	0.3513202707371497	1	0.3513202707371497	1	0.3513202707371497	1	0.3513202707371497	1	0.3513202707371497	1.9865695850790113	0.6979221644681455
Gene87	0.6338720723269352	1	0.6338720723269352	1	0.6338720723269352	2.128417293840724	1.3491442808233072	1	0.6338720723269352	1	0.6338720723269352
Gene88	0.44050365417328313	1	0.44050365417328313	1	0.44050365417328313	1	0.44050365417328313	1	0.44050365417328313	1	0.44050365417328313
Gene89	1.4769850666128612	38.671287420769744	40.000278406015305	1	40.000278406015305	1	40.000278406015305	1	40.000278406015305	1	40.000278406015305
Gene90	0.9305039652494681	1	0.9305039652494681	1	0.9305039652494681	1	0.9305039652494681	1	0.9305039652494681	1	0.9305039652494681
Gene91	2.421239402080014	1	2.421239402080014	1	2.421239402080014	1	2.421239402080014	1	2.421239402080014	1	2.421239402080014
Gene92	2.519446135494388	1	2.519446135494388	2.6503838948011857	6.677499461333412	1.514557018293856	3.8158448267263583	1	2.519446135494388	1	2.519446135494388
Gene93	2.742738657760253	1	2.742738657760253	0.4998804268005686	1.371041370843614	0.998115253900152	2.7375692917721373	1.5476951110027233	4.244923211373715	1	2.742738657760253
Gene94	0.32549335636713606	1	0.32549335636713606	1	0.32549335636713606	1	0.32549335636713606	1	0.32549335636713606	1	0.32549335636713606
Gene95	4.026319452862218	1	4.026319452862218	1	4.026319452862218	1	4.026319452862218	1	4.026319452862218	1	4.026319452862218
Gene96	0.4772845367261929	1	0.4772845367261929	1	0.4772845367261929	1	0.4772845367261929	1	0.4772845367261929	1	0.4772845367261929
Gene97	0.03203449124634547	1	0.03203449124634547	1	0.03203449124634547	1	0.03203449124634547	1	0.03203449124634547	5.7964139633121095	0.18568517236791643
Gene98	6.990602040518143	1	6.990602040518143	1	6.990602040518143	1	6.990602040518143	1	6.990602040518143	1.3294956802688425	9.293975215347427
Gene99	3.67739442659764	1	3.67739442659764	1	3.67739442659764	1	3.67739442659764	1	3.67739442659764	1	3.67739442659764
Gene100	3.835466158761114	1	3.835466158761114	1	3.835466158761114	1	3.835466158761114	1	3.835466158761114	1	3.835466158761114
