Cell	Batch	group	ExpLibSize
Cell134	Batch1	Exciting	48870.960893990785
Cell135	Batch1	Weird subtype	54873.72119222294
Cell140	Batch1	Mystery celltype	54859.58984385942
Cell141	Batch1	Exciting	83376.68228099668
Cell142	Batch1	Mystery celltype	55971.30698920121
Cell144	Batch1	Exciting	46879.47787048267
Cell145	Batch1	Exciting	67878.99955034911
Cell146	Batch1	Dunno	55562.100480375855
Cell151	Batch1	Exciting	74276.64780383078
Cell153	Batch1	Exciting	56111.32170147118
Cell157	Batch1	Mystery celltype	69035.40856601347
Cell160	Batch1	Mystery celltype	71638.95396712197
Cell162	Batch1	Mystery celltype	59310.28826991561
Cell165	Batch1	Mystery celltype	54678.946737595004
Cell166	Batch1	Mystery celltype	57245.59746935213
Cell168	Batch1	Exciting	73350.32963614837
Cell169	Batch1	Exciting	53979.55283679607
Cell171	Batch1	Mystery celltype	51236.72745269203
Cell172	Batch1	Dunno	72477.87092243957
Cell174	Batch1	Weird subtype	48998.17955999089
Cell175	Batch1	Mystery celltype	67618.9003205934
Cell178	Batch1	Mystery celltype	64338.60678140598
Cell179	Batch1	Dunno	82347.14301485407
Cell181	Batch1	Mystery celltype	50579.42513230821
Cell182	Batch1	Dunno	70628.91792338541
Cell183	Batch1	Dunno	73006.42094973422
Cell185	Batch1	Exciting	70256.1424370556
Cell186	Batch1	Exciting	44968.786524416486
Cell189	Batch1	Dunno	69565.64579270386
Cell190	Batch1	Exciting	70875.24020658476
Cell192	Batch1	Dunno	60129.941634371746
Cell195	Batch1	Exciting	49205.88335127697
Cell196	Batch1	Mystery celltype	39889.40310194166
Cell198	Batch1	Mystery celltype	63159.400769407235
Cell200	Batch1	Mystery celltype	47032.689748694414
Cell202	Batch1	Exciting	65503.045438960275
Cell205	Batch1	Exciting	52580.34831716724
Cell206	Batch1	Mystery celltype	73953.2545036953
Cell209	Batch1	Exciting	86205.33155590425
Cell211	Batch1	Exciting	62282.41608670635
Cell213	Batch1	Mystery celltype	62199.789214546705
Cell218	Batch1	Mystery celltype	59298.18336733352
Cell222	Batch1	Weird subtype	43655.17044370976
Cell224	Batch1	Mystery celltype	48351.48506715231
Cell227	Batch1	Exciting	75763.7955813687
Cell229	Batch1	Mystery celltype	60655.41686891719
Cell230	Batch1	Dunno	58779.80516234371
Cell231	Batch1	Exciting	49546.80040872587
Cell235	Batch1	Exciting	53141.669888693665
Cell240	Batch1	Mystery celltype	58713.082429138136
Cell241	Batch1	Mystery celltype	76112.73294680292
Cell242	Batch1	Mystery celltype	50450.87852683166
Cell243	Batch1	Mystery celltype	75652.89691471095
Cell244	Batch1	Weird subtype	49912.80449902912
Cell245	Batch1	Exciting	51187.39363283295
Cell248	Batch1	Mystery celltype	58215.93764980519
Cell249	Batch1	Exciting	68906.31864078039
Cell250	Batch1	Mystery celltype	68610.31209030513
Cell252	Batch1	Mystery celltype	42757.503340227704
Cell253	Batch1	Mystery celltype	48064.019523638206
Cell254	Batch1	Exciting	70366.73081233972
Cell258	Batch1	Exciting	87038.13312069164
Cell263	Batch1	Dunno	88283.01861665332
Cell267	Batch1	Dunno	62275.42505737917
Cell268	Batch1	Dunno	55921.35946356151
Cell270	Batch1	Dunno	46562.23963203289
Cell272	Batch1	Dunno	58826.122208443354
Cell278	Batch1	Dunno	56665.444451203424
Cell279	Batch1	Mystery celltype	85926.43198037753
Cell282	Batch1	Exciting	42968.7540495921
Cell284	Batch1	Mystery celltype	77742.70394705818
Cell285	Batch1	Mystery celltype	47166.67198543781
Cell287	Batch1	Dunno	50111.2502275346
Cell288	Batch1	Dunno	82493.90597167228
Cell290	Batch1	Dunno	67881.40035008473
Cell292	Batch1	Mystery celltype	59215.0103723406
Cell297	Batch1	Mystery celltype	55774.158236177835
Cell298	Batch1	Dunno	66644.28042367943
Cell299	Batch1	Dunno	78552.69644137434
Cell300	Batch1	Exciting	71322.50268357595
Cell305	Batch1	Mystery celltype	98096.9655645084
Cell307	Batch1	Exciting	73956.1818316257
Cell309	Batch1	Dunno	53629.99440978181
Cell310	Batch1	Mystery celltype	73586.46368562838
Cell311	Batch1	Dunno	69426.46218642656
Cell313	Batch1	Dunno	73736.89330866672
Cell314	Batch1	Exciting	77510.7842623073
Cell315	Batch1	Mystery celltype	62970.71822940966
Cell316	Batch1	Exciting	87257.9578797986
Cell320	Batch1	Dunno	72457.7227430852
Cell321	Batch1	Exciting	57874.94767184463
Cell323	Batch1	Exciting	62349.33386915656
Cell324	Batch1	Dunno	58651.652601725225
Cell325	Batch1	Exciting	56546.17817691532
Cell326	Batch1	Exciting	54768.976058638
Cell329	Batch1	Mystery celltype	87593.28762181934
Cell330	Batch1	Dunno	51036.400212527355
Cell331	Batch1	Dunno	81041.87901135806
Cell334	Batch1	Mystery celltype	61691.92665258174
Cell336	Batch1	Dunno	58992.66535025075
Cell338	Batch1	Dunno	52063.4996265077
Cell339	Batch1	Mystery celltype	49542.437593599825
Cell341	Batch1	Dunno	60508.588401668974
Cell347	Batch1	Mystery celltype	81185.27119543543
Cell350	Batch1	Dunno	65539.07591285396
Cell352	Batch1	Exciting	54313.644396865864
Cell355	Batch1	Exciting	70403.87619190854
Cell359	Batch1	Mystery celltype	58294.253745828355
Cell361	Batch1	Exciting	64073.97559123764
Cell362	Batch1	Exciting	48932.612529710124
Cell364	Batch1	Exciting	50986.72561130079
Cell368	Batch1	Mystery celltype	48451.51059068924
Cell370	Batch1	Exciting	60143.409875790916
Cell373	Batch1	Exciting	101255.23768731704
Cell374	Batch1	Mystery celltype	68037.66852231452
Cell375	Batch1	Exciting	90439.55606548753
Cell376	Batch1	Exciting	68892.6046870921
Cell379	Batch1	Dunno	51410.75193092789
Cell382	Batch1	Mystery celltype	59950.403336530835
Cell384	Batch1	Exciting	85139.82979429308
Cell387	Batch1	Mystery celltype	52360.47569417261
Cell388	Batch1	Dunno	58256.2485453605
Cell389	Batch1	Exciting	42724.60209830365
Cell390	Batch1	Exciting	57007.70297865485
Cell391	Batch1	Dunno	66072.25864104759
Cell394	Batch1	Mystery celltype	74182.07163435398
Cell395	Batch1	Dunno	47631.59757952375
Cell397	Batch1	Exciting	53165.4524317683
Cell398	Batch1	Dunno	83096.6506509114
Cell399	Batch1	Dunno	59888.83557096457
Cell400	Batch1	Mystery celltype	60745.74881671979
Cell401	Batch1	Dunno	59474.08398927108
Cell402	Batch1	Mystery celltype	67329.54672421503
Cell403	Batch1	Mystery celltype	63082.571728269155
Cell405	Batch1	Dunno	42108.029073011436
Cell409	Batch1	Exciting	56078.862237949266
Cell410	Batch1	Exciting	61301.194330446066
Cell411	Batch1	Exciting	93972.76158956725
Cell415	Batch1	Dunno	68818.54370560612
Cell417	Batch1	Mystery celltype	69596.63839047254
Cell418	Batch1	Dunno	54643.34342350498
Cell421	Batch1	Dunno	49502.5247815001
Cell422	Batch1	Mystery celltype	69352.93633465214
Cell424	Batch1	Mystery celltype	55403.50513551321
Cell425	Batch1	Weird subtype	51357.607136771556
Cell426	Batch1	Mystery celltype	37802.08995695506
Cell428	Batch1	Dunno	47395.02408822196
Cell431	Batch1	Mystery celltype	57760.294055991326
Cell432	Batch1	Exciting	55727.42997261764
Cell433	Batch1	Exciting	49075.48660293653
Cell436	Batch1	Dunno	54957.357170455674
Cell438	Batch1	Dunno	73249.70537624441
Cell439	Batch1	Exciting	83176.58833450306
Cell440	Batch1	Dunno	50865.81695062725
Cell442	Batch1	Exciting	64701.1256678348
Cell443	Batch1	Exciting	59014.02721629023
Cell445	Batch1	Exciting	63773.26720757371
Cell451	Batch1	Weird subtype	53764.10206251263
Cell455	Batch1	Mystery celltype	75449.72182186146
Cell456	Batch1	Dunno	53218.680081457984
Cell457	Batch1	Exciting	85026.22745982851
Cell460	Batch1	Dunno	79062.0684719292
Cell461	Batch1	Dunno	58137.92521728268
Cell462	Batch1	Exciting	57678.32329935796
Cell465	Batch1	Dunno	55685.398676793055
Cell466	Batch1	Mystery celltype	83705.23059210832
Cell470	Batch1	Dunno	49351.161985836705
Cell471	Batch1	Mystery celltype	46525.06377298973
Cell473	Batch1	Dunno	69972.26834490715
Cell474	Batch1	Dunno	75577.30087930195
Cell476	Batch1	Weird subtype	69530.43643290483
Cell477	Batch1	Dunno	48477.8585685877
Cell478	Batch1	Mystery celltype	43432.79476529873
Cell481	Batch1	Mystery celltype	80141.0003101273
Cell483	Batch1	Mystery celltype	56050.46718357846
Cell484	Batch1	Mystery celltype	40099.174277372105
Cell485	Batch1	Dunno	46579.832656207414
Cell487	Batch1	Exciting	45331.87064944953
Cell488	Batch1	Exciting	67426.51336242554
Cell490	Batch1	Exciting	56758.486777894155
Cell492	Batch1	Mystery celltype	45025.979091999725
Cell493	Batch1	Exciting	56702.40308039261
Cell494	Batch1	Mystery celltype	60617.35013346793
Cell496	Batch1	Mystery celltype	59412.44501506707
Cell498	Batch1	Dunno	52872.094812063544
Cell499	Batch1	Mystery celltype	80622.24876492086
Cell501	Batch1	Mystery celltype	61024.59422595926
Cell504	Batch1	Mystery celltype	83454.86757289598
Cell506	Batch1	Mystery celltype	56341.76015419253
Cell507	Batch1	Dunno	44974.63914653621
Cell508	Batch1	Exciting	44407.01226516687
Cell510	Batch1	Mystery celltype	54285.0113116402
Cell514	Batch1	Exciting	63768.025745437524
Cell517	Batch1	Mystery celltype	46668.24402505373
Cell518	Batch1	Dunno	65325.70001000344
Cell520	Batch1	Exciting	62736.84248924784
Cell521	Batch1	Exciting	58380.38448777898
Cell523	Batch1	Exciting	67360.46401291544
Cell524	Batch1	Weird subtype	61144.817793029644
Cell527	Batch1	Exciting	57796.696946227545
Cell528	Batch1	Mystery celltype	64425.15603134294
Cell529	Batch1	Exciting	44857.79201776551
Cell532	Batch1	Exciting	75181.2654638172
Cell536	Batch1	Mystery celltype	45800.23400736708
Cell537	Batch1	Dunno	74263.01956322035
Cell542	Batch1	Exciting	60177.77078332433
Cell543	Batch1	Exciting	43778.15982525974
Cell545	Batch1	Mystery celltype	67253.07115123785
Cell547	Batch1	Exciting	77546.31023451254
Cell549	Batch1	Dunno	55221.56146902432
Cell550	Batch1	Exciting	66551.76621601294
Cell552	Batch1	Mystery celltype	64645.7310966531
Cell554	Batch1	Mystery celltype	52864.76383286277
Cell558	Batch1	Dunno	49503.16551763513
Cell561	Batch1	Mystery celltype	49747.827370732746
Cell562	Batch1	Exciting	77796.29361199462
Cell563	Batch1	Exciting	32517.801451913903
Cell566	Batch1	Mystery celltype	49761.78778759733
Cell570	Batch1	Dunno	67672.15191428228
Cell571	Batch1	Mystery celltype	69175.65444702056
Cell575	Batch1	Exciting	56709.75805172777
Cell579	Batch1	Exciting	54052.30800505988
Cell580	Batch1	Exciting	74598.90128966793
Cell582	Batch1	Dunno	41938.583858660175
Cell583	Batch1	Mystery celltype	72111.31916836997
Cell584	Batch1	Mystery celltype	69429.64281585328
Cell585	Batch1	Mystery celltype	72503.45888976833
Cell586	Batch1	Mystery celltype	80708.89694882413
Cell588	Batch1	Exciting	30840.752800798415
Cell590	Batch1	Exciting	69172.59871626447
Cell591	Batch1	Dunno	82647.26830144694
Cell593	Batch1	Mystery celltype	44869.642073155
Cell594	Batch1	Mystery celltype	67373.43624525052
Cell595	Batch1	Dunno	60551.42027935148
Cell596	Batch1	Dunno	56997.77917260365
Cell599	Batch1	Dunno	58071.664457033876
Cell602	Batch1	Mystery celltype	41389.43818547396
Cell603	Batch1	Mystery celltype	64471.42955457428
Cell605	Batch1	Exciting	59349.332968371295
Cell609	Batch1	Mystery celltype	35342.969251708106
Cell611	Batch1	Exciting	78384.32851069582
Cell612	Batch1	Mystery celltype	59339.222517357804
Cell614	Batch1	Mystery celltype	76706.61761351599
Cell616	Batch1	Dunno	56949.44134777487
Cell618	Batch1	Mystery celltype	54261.099929363096
Cell619	Batch1	Exciting	66047.9927719561
Cell620	Batch1	Exciting	73085.20289662106
Cell621	Batch1	Dunno	58793.49531685555
Cell622	Batch1	Mystery celltype	54943.73433204054
Cell624	Batch1	Dunno	54097.59785961883
Cell626	Batch1	Exciting	53855.07469884097
Cell627	Batch1	Weird subtype	44416.32087036199
Cell628	Batch1	Exciting	57903.75618818855
Cell629	Batch1	Dunno	62644.41547684184
Cell631	Batch1	Exciting	60017.41514845921
Cell632	Batch1	Mystery celltype	59910.910029747654
Cell633	Batch1	Mystery celltype	49732.15075467038
Cell634	Batch1	Exciting	56589.77566652936
Cell638	Batch1	Exciting	62447.44259068599
Cell639	Batch1	Exciting	64133.64450491816
Cell641	Batch1	Exciting	44089.20554144063
Cell643	Batch1	Dunno	73522.18182880066
Cell646	Batch1	Mystery celltype	61802.93889261675
Cell647	Batch1	Mystery celltype	69012.0854740952
Cell650	Batch1	Mystery celltype	74714.79586975073
Cell652	Batch1	Weird subtype	56062.62499714292
Cell659	Batch1	Mystery celltype	69894.64218398865
Cell660	Batch1	Dunno	66592.586718327555
Cell661	Batch1	Dunno	85591.02358008553
Cell662	Batch1	Dunno	44516.24819323479
Cell664	Batch1	Dunno	61307.004898365776
Cell665	Batch1	Exciting	64705.31155970481
Cell668	Batch1	Weird subtype	71455.41809041442
Cell670	Batch1	Exciting	42053.06380443934
Cell673	Batch1	Mystery celltype	55095.33915013706
Cell674	Batch1	Dunno	45486.15169293153
Cell676	Batch1	Exciting	63517.160284769445
Cell677	Batch1	Exciting	73489.07959872915
Cell678	Batch1	Mystery celltype	71814.41470489615
Cell685	Batch1	Dunno	47441.372998551655
Cell686	Batch1	Dunno	49938.59656240519
Cell688	Batch1	Dunno	49738.568822691675
Cell690	Batch1	Mystery celltype	52789.31899776843
Cell693	Batch1	Dunno	52209.58603909123
Cell694	Batch1	Exciting	65974.73334813816
Cell698	Batch1	Mystery celltype	64468.974478183445
Cell699	Batch1	Exciting	64012.37086466773
Cell700	Batch1	Exciting	55742.29025149838
Cell702	Batch1	Exciting	58774.06532284232
Cell703	Batch1	Exciting	52129.503219550716
Cell705	Batch1	Mystery celltype	60585.22086924787
Cell706	Batch1	Exciting	68973.56697136941
Cell707	Batch1	Dunno	70457.08797883583
Cell709	Batch1	Mystery celltype	74559.04863400896
Cell711	Batch1	Exciting	54858.45915215607
Cell712	Batch1	Exciting	50166.67818033528
Cell716	Batch1	Exciting	73099.67341725297
Cell720	Batch1	Exciting	67445.83981177946
Cell723	Batch1	Exciting	53446.52691235099
Cell725	Batch1	Dunno	51813.53140782089
Cell726	Batch1	Exciting	73544.824521771
Cell727	Batch1	Mystery celltype	77108.1982912516
Cell728	Batch1	Mystery celltype	64581.15229087629
Cell729	Batch1	Dunno	61697.683973040716
Cell730	Batch1	Dunno	66889.12767705396
Cell731	Batch1	Mystery celltype	48456.99291942505
Cell732	Batch1	Mystery celltype	40238.11346060553
Cell733	Batch1	Mystery celltype	54992.66697274335
Cell736	Batch1	Exciting	42050.56317254396
Cell737	Batch1	Weird subtype	39975.41657072051
Cell738	Batch1	Mystery celltype	76628.4179457589
Cell739	Batch1	Mystery celltype	66319.98992634375
Cell741	Batch1	Dunno	69603.29382237795
Cell742	Batch1	Weird subtype	56063.76398353835
Cell746	Batch1	Dunno	76474.29292901258
Cell747	Batch1	Exciting	66562.59488683096
Cell748	Batch1	Mystery celltype	110327.72657035479
Cell749	Batch1	Mystery celltype	51073.62800414176
Cell750	Batch1	Exciting	59000.37259510889
Cell751	Batch1	Dunno	59410.0011177861
Cell752	Batch1	Mystery celltype	65667.35453780026
Cell754	Batch1	Exciting	75800.52544906427
Cell755	Batch1	Exciting	43302.72149825256
Cell758	Batch1	Exciting	80637.93996155521
Cell759	Batch1	Dunno	58290.90065131635
Cell764	Batch1	Mystery celltype	56589.4473843959
Cell771	Batch1	Mystery celltype	74817.87862836638
Cell773	Batch1	Dunno	45359.98044989292
Cell774	Batch1	Mystery celltype	60468.7985422407
Cell781	Batch1	Mystery celltype	56729.539384588774
Cell782	Batch1	Exciting	65464.334406033464
Cell785	Batch1	Dunno	84827.91766206028
Cell787	Batch1	Mystery celltype	69995.89537319269
Cell790	Batch1	Dunno	75428.60638060226
Cell791	Batch1	Mystery celltype	51940.56168878204
Cell792	Batch1	Exciting	59360.403835508274
Cell793	Batch1	Exciting	49305.59270006465
Cell795	Batch1	Mystery celltype	67961.80619423035
Cell797	Batch1	Exciting	66215.25871847503
Cell801	Batch1	Mystery celltype	74773.00831045811
Cell802	Batch1	Mystery celltype	69503.48690314239
Cell806	Batch1	Exciting	75483.32950416845
Cell807	Batch1	Exciting	63791.25301962973
Cell812	Batch1	Mystery celltype	70710.59238823927
Cell813	Batch1	Dunno	66386.01610004039
Cell814	Batch1	Mystery celltype	57003.8002986488
Cell815	Batch1	Dunno	49434.401234209894
Cell816	Batch1	Mystery celltype	81019.48316453358
Cell817	Batch1	Dunno	57660.14672159395
Cell820	Batch1	Mystery celltype	81139.42740797685
Cell822	Batch1	Exciting	51758.33356656971
Cell827	Batch1	Exciting	82163.52899908184
Cell828	Batch1	Mystery celltype	44510.20628733321
Cell829	Batch1	Exciting	49830.26339342397
Cell830	Batch1	Weird subtype	79645.9067006031
Cell831	Batch1	Mystery celltype	66678.27291821793
Cell832	Batch1	Dunno	70804.76796286086
Cell833	Batch1	Mystery celltype	88773.24491561459
Cell834	Batch1	Mystery celltype	76984.23136078312
Cell836	Batch1	Exciting	79299.10284013295
Cell838	Batch1	Dunno	50232.62520234292
Cell839	Batch1	Exciting	67677.05755288526
Cell840	Batch1	Mystery celltype	59751.913327324786
Cell842	Batch1	Dunno	69948.02665545353
Cell844	Batch1	Dunno	56626.2838206254
Cell845	Batch1	Exciting	54436.92059598208
Cell846	Batch1	Mystery celltype	72918.98140644566
Cell847	Batch1	Exciting	57252.83703691692
Cell849	Batch1	Dunno	61261.36391609695
Cell850	Batch1	Exciting	61237.867728430676
Cell853	Batch1	Dunno	50055.0538727858
Cell860	Batch1	Exciting	62464.39017823284
Cell861	Batch1	Mystery celltype	43952.10003838061
Cell862	Batch1	Mystery celltype	49429.93452585513
Cell863	Batch1	Exciting	63089.664479451036
Cell864	Batch1	Exciting	50012.16143696786
Cell865	Batch1	Mystery celltype	39810.15418311501
Cell867	Batch1	Mystery celltype	57648.67434413288
Cell869	Batch1	Mystery celltype	52830.146137773714
Cell870	Batch1	Exciting	64698.36491185619
Cell871	Batch1	Mystery celltype	62351.319631986924
Cell872	Batch1	Dunno	66782.4195643286
Cell874	Batch1	Exciting	55992.78928064643
Cell876	Batch1	Exciting	57838.32227614392
Cell877	Batch1	Mystery celltype	84778.63929336573
Cell880	Batch1	Exciting	39790.36493991507
Cell881	Batch1	Exciting	67698.2318412466
Cell883	Batch1	Dunno	75401.70206051634
Cell884	Batch1	Dunno	42776.43027168227
Cell885	Batch1	Exciting	66251.97025539962
Cell886	Batch1	Exciting	59728.89109650733
Cell889	Batch1	Dunno	65862.16280115274
Cell892	Batch1	Dunno	64886.72759060191
Cell893	Batch1	Exciting	62741.3812670592
Cell896	Batch1	Exciting	66700.44446821426
Cell900	Batch1	Mystery celltype	89838.24189988746
Cell902	Batch1	Exciting	49720.91127972059
Cell904	Batch1	Dunno	61698.31414189178
Cell905	Batch1	Mystery celltype	75890.78025812042
Cell906	Batch1	Dunno	49332.671183011495
Cell908	Batch1	Mystery celltype	60911.50170090127
Cell912	Batch1	Dunno	48371.35697778317
Cell913	Batch1	Dunno	43300.84285321089
Cell916	Batch1	Mystery celltype	41294.94179371393
Cell917	Batch1	Exciting	78215.83123964709
Cell921	Batch1	Dunno	68510.89876505475
Cell922	Batch1	Weird subtype	47675.61036223717
Cell923	Batch1	Mystery celltype	50285.32470667179
Cell924	Batch1	Exciting	50810.458266410016
Cell925	Batch1	Dunno	54502.55586418292
Cell926	Batch1	Dunno	66428.82045412977
Cell928	Batch1	Mystery celltype	50810.16890843113
Cell929	Batch1	Dunno	52505.54964244125
Cell930	Batch1	Dunno	48660.587675347415
Cell932	Batch1	Mystery celltype	68166.19623600527
Cell933	Batch1	Mystery celltype	61781.75459550566
Cell935	Batch1	Exciting	61965.20553453278
Cell936	Batch1	Exciting	59552.082663036985
Cell937	Batch1	Weird subtype	44121.63202588367
Cell938	Batch1	Dunno	86090.04391328803
Cell939	Batch1	Weird subtype	51965.66952959045
Cell940	Batch1	Mystery celltype	55573.07455502759
Cell947	Batch1	Exciting	78966.42110849377
Cell948	Batch1	Dunno	57893.58454573163
Cell949	Batch1	Dunno	108399.51473060224
Cell950	Batch1	Exciting	63941.65092858417
Cell953	Batch1	Dunno	52494.101352971746
Cell954	Batch1	Exciting	60801.11137383105
Cell956	Batch1	Mystery celltype	53317.811588200435
Cell957	Batch1	Mystery celltype	66956.63625350388
Cell958	Batch1	Dunno	61169.891441098334
Cell960	Batch1	Mystery celltype	70297.72026231191
Cell961	Batch1	Mystery celltype	73180.26381577374
Cell964	Batch1	Exciting	51129.50161236589
Cell965	Batch1	Dunno	57332.79065619364
Cell966	Batch1	Weird subtype	100920.05054716372
Cell968	Batch1	Mystery celltype	56613.22063144928
Cell971	Batch1	Exciting	48814.80998613285
Cell974	Batch1	Mystery celltype	42222.48434667154
Cell977	Batch1	Weird subtype	56934.87403202956
Cell980	Batch1	Mystery celltype	63527.13835053482
Cell983	Batch1	Mystery celltype	60243.19147127942
Cell985	Batch1	Weird subtype	48036.537458381434
Cell987	Batch1	Weird subtype	76719.92184793137
Cell989	Batch1	Dunno	67576.9088681226
Cell990	Batch1	Mystery celltype	76899.69013529253
Cell991	Batch1	Mystery celltype	54174.509374250156
Cell993	Batch1	Exciting	58906.90399288473
Cell995	Batch1	Dunno	81652.84927522646
Cell1000	Batch1	Mystery celltype	45436.644641530926
